common_name,scientific_name,temp_air_c,temp_water_c,soil_moisture,humidity,nutrient,ph,min_germination_days,max_germination_days,instructions
Sheepburr,"Acaena buchananii, caesiiglauca, fissistipula, inermis, magellanica, microphylla, myriophylla, novae-zelandiae, and saccaticupula",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) very slow germinator"
,"Acantholimon acerosum, albanicum, armenum, bracteatum, dianthifolium, glumaceum, kotschyanum, and ulicinum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Bear's Breeches,Acanthus hungaricus (balcanicus),,,,,,,,,"Soak 1-2 days, Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for irregular germination"
Bear's Breeches,"Acanthus mollis, and spinosus",,,,,,,,,"Soak 1-2 days, Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Yarrow,"Achillea ageratifolia, and nana",,,,,,,,,Sow at 20ºC (68ºF)
Yarrow,"Achillea ageratum, clypeolata, filipendulina, millefolium, nobilis, ptarmica, pyrenaica, siberica, and tomentosa",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Yarrow,Achillea erba-rotta,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Achlys triphylla,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -6 to -7ºC (19-21ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Achnatherum calamagrostis,,,,,,,,,Sow at 20ºC (68ºF)
,Acinos alpinus,,,,,,,,,Sow at 20ºC (68ºF)
,"Aciphylla aurea, congesta, dieffenbachii, monroi, simplex, spedenii, and subflabellata",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -6 to -7ºC (19-21ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Monkshood,"Aconitum anthora, x arendsii, carmiichaelii, cammarum, lamarckii, napellus, septentrionale, variegatum, and vulparia",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -6 to -7ºC (19-21ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Acorus calamus,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -6 to -7ºC (19-21ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination, or sow outdoors immediately after harvest."
Baneberry,"Actaea alba, erythrocarpa, pachypoda, rubra, and spicata",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Ladybells,Adenophora bulleyana,,,,,,,,,Sow at 20ºC (68ºF)
Ladybells,"Adenophora coelestis, cymerhae, himalayana, liliifolia, nikoensis, pereskiifolia, polyantha, takedai, tashiroi, and triphylla",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Adenostyles alpina,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Adonis amurensis, brevistyla, pyrenaica, and vernalis",,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
,"Aethonema antitaurii, and coridifolium",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
